title,author,genres,tags,summary
The Midnight Library,Matt Haig,Fantasy,emotional|reflective|sad|hopeful|philosophical,"A woman dissatisfied with her life is transported to a mysterious library between life and death where she explores alternate versions of her choices and learns what truly matters."
It Ends With Us,Colleen Hoover,Romance,romantic|emotional|difficult|sad|hopeful,"A young woman must confront her past and fight her way out of a destructive relationship while reclaiming her strength and autonomy."
Project Hail Mary,Andy Weir,Sci-Fi,science|adventure|humorous|hopeful|fast-paced,"An astronaut wakes up far from Earth with no memory of his mission and must rely on ingenuity and a surprising ally to save humanity."
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Fantasy,magical realism|reflective|sad|hopeful|emotional,"Customers at a small Tokyo cafe are offered a chance to travel back in time—if only for one seat, one drink, one chance to say what they left unsaid."
The Song of Achilles,Madeline Miller,Historical Fiction,romantic|tragic|mythology|sad|emotional,"A re-imagining of the Trojan War focusing on the deep, tragic love story between the demigod Achilles and the exiled prince Patroclus."
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Contemporary,friendship|reflective|creative|complex|character-driven,"A story of two childhood friends who become video game designers, exploring their complex relationship over decades of creation, success, and failure."
Klara and the Sun,Kazuo Ishiguro,Sci-Fi,reflective|dystopian|philosophical|sad|emotional,"An 'Artificial Friend' designed to be a companion for children observes the human world and explores the meaning of love, sacrifice, and humanity."
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Contemporary,character-driven|heartwarming|sad|hopeful|friendship,"A socially isolated woman’s structured life is upended by an unexpected friendship with a coworker, forcing her to confront her traumatic past."
The Night Circus,Erin Morgenstern,Fantasy,magical|atmospheric|romantic|whimsical|mysterious,"A magical competition between two young illusionists unfolds within an enchanted circus that appears only at night, binding them in a dangerous game of love and destiny."
Circe,Madeline Miller,Fantasy,mythology|retelling|feminist|reflective|magical,"A mythic retelling following the sorceress Circe as she defies gods, tames beasts, and discovers her own power and identity in a world ruled by men."
A Man Called Ove,Fredrik Backman,Contemporary,heartwarming|humorous|sad|character-driven|reflective,"An irritable widower’s meticulously planned solitude is disrupted by a boisterous new family next door, leading to unexpected friendships and a new lease on life."
Lessons in Chemistry,Bonnie Garmus,Historical Fiction,humorous|feminist|inspiring|character-driven|historical,"A 1950s scientist-turned-TV-chef upends expectations, challenges the patriarchy, and teaches her audience about chemistry and life."
The House in the Cerulean Sea,TJ Klune,Fantasy,heartwarming|hopeful|found family|fantasy|LGBTQ,"A rigid social worker is sent to a remote orphanage for magical children, where he discovers a found family, love, and the courage to stand up for them."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,historical|romantic|secrets|sad|LGBTQ,"A reclusive Old Hollywood movie icon decides to tell her life story to an unknown magazine reporter, revealing glamorous, scandalous, and heartbreaking truths."
Beautiful World Where Are You,Sally Rooney,Contemporary,reflective|literary|character-driven|relationships|introspective,"Four young friends in Ireland navigate love, friendship, and existential anxieties about their future and the state of the world."
People We Meet on Vacation,Emily Henry,Romance,romantic|humorous|heartwarming|friends to lovers|summer,"Two best friends with nothing in common except their annual summer vacation attempt one last trip to see if they can finally bridge the gap between friendship and love."
The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,fantasy|historical|romantic|sad|reflective,"A woman makes a Faustian bargain to live forever but is cursed to be forgotten by everyone she meets, until 300 years later she finds someone who remembers her."
Book Lovers,Emily Henry,Romance,romantic|humorous|witty|enemies to lovers|family,"A high-powered literary agent and a rival editor, both rivals in the city, are thrown together in a small town and discover their own story might be a romance."
Remarkably Bright Creatures,Shelby Van Pelt,Contemporary,heartwarming|charming|mystery|grief|friendship,"A grieving widow working at an aquarium befriends a giant Pacific octopus who helps her unravel a mystery about her son's disappearance."
The Alchemist,Paulo Coelho,Fantasy,philosophical|allegorical|inspiring|adventure|reflective,"A young Andalusian shepherd travels the world in search of a treasure, learning about listening to his heart, following his destiny, and understanding the 'Soul of the World'."
Normal People,Sally Rooney,Contemporary,romantic|realistic|sad|introspective|character-driven,"Two people from different backgrounds in small-town Ireland navigate a complex, intimate connection as they move through university and into early adulthood."
One Last Stop,Casey McQuiston,Romance,romantic|LGBTQ|humorous|fantasy|heartwarming,"A cynical 20-something falls for a mysterious, charming girl on the NYC subway, only to discover her new crush is literally displaced in time from the 1970s."
A Little Life,Hanya Yanagihara,Contemporary,sad|dark|emotional|difficult|friendship,"Four college friends move to New York, tracing their complex relationships over decades as they grapple with ambition, love, and the profound trauma of their pasts."
Fourth Wing,Rebecca Yarros,Fantasy,fantasy|romantic|adventure|action|dragons,"A young woman is forced to join a deadly dragon-riding war college, where she must survive brutal trials, political intrigue, and a dangerous romance."
Babel,R.F. Kuang,Fantasy,dark academia|historical|fantasy|political|sad,"A Chinese orphan studies translation and magic at Oxford in the 1830s, grappling with colonialism, identity, and the price of revolution."
Pachinko,Min Jin Lee,Historical Fiction,historical|family saga|sad|cultural|reflective,"A sprawling generational saga following a Korean family who immigrates to Japan, facing prejudice, poverty, and sacrifice over decades."
The Priory of the Orange Tree,Samantha Shannon,Fantasy,epic|fantasy|dragons|LGBTQ|adventure,"An epic fantasy following a queen without an heir, a dragon rider, and a mage as they unite against an ancient, world-ending evil."
Beach Read,Emily Henry,Romance,romantic|humorous|witty|summer|heartwarming,"Two rival authors with writer's block swap genres for the summer and end up confronting their pasts and falling in love."
Daisy Jones and The Six,Taylor Jenkins Reid,Historical Fiction,historical|music|character-driven|drama|emotional,"The rise and fall of a fictional 1970s rock band is recounted through a series of interviews, detailing the explosive chemistry and rivalries that tore them apart."
Norwegian Wood,Haruki Murakami,Contemporary,reflective|sad|romantic|literary|melancholy,"A student in 1960s Tokyo looks back on his relationships with two very different women as he navigates love, loss, and mental health."
